"construct","ratio.avg plate1","ratio.se plate1","ratio.sd plate1","ratio.val plate1","ratio.avg plate2","ratio.se plate2","ratio.sd plate2","ratio.val plate2"
"GFP",1,0.028074007350937,0.048625607103885,"1.04649516167099:1.00401227283455:0.949492565494454",1,0.0969100494132621,0.16785312934778,"1.02378033831822:1.1546947781319:0.82152488354989"
"media",0.228699551569507,0,0,"0.228699551569507",0.546457465064967,0,0,"0.546457465064967"
"Null",0.307292895916922,0,0,"0.307292895916922",0.257416033341505,0,0,"0.257416033341505"
"P1B6",0.649516167099363,0.011600855064852,0.0200932703835664,"0.631578947368421:0.645739910313901:0.671229643615766",0.670262319195881,0.0175916971815741,0.0304697133098526,"0.63544986516303:0.692081392498161:0.683255699926453"
"P1B9",0.711588388010385,0.022255700229646,0.0385480035557693,"0.667689402879396:0.727165447250413:0.739910313901345",0.661681784751164,0.0319581273757158,0.0553531003294975,"0.711939200784506:0.602353518019122:0.670752635449865"
"P1C9",0.862638659428841,0.0714185500502383,0.123700557289914,"0.998347887656361:0.833372669341515:0.756195421288648",0.93576857072812,0.0578510848005932,0.100201018147603,"1.03922530031871:0.839176268693307:0.928904143172346"
"P1D9",0.669813547321218,0.0148690110927543,0.0257538826709557,"0.684682558413972:0.640075525135709:0.684682558413972",0.623191958813435,0.0242533139645242,0.0420079720384757,"0.661191468497181:0.6303015444962:0.578082863446923"
"P1E1",0.268822279915034,0.00625776425941132,0.010838765639089,"0.264810007080481:0.281095114467784:0.260561718196837",0.21304241235597,0.00427447800298179,0.00740361307700001,"0.219906839911743:0.214023044863937:0.205197352292228"
"P1E1mut1",0.252537172527732,0.00736203632781791,0.0127514209669484,"0.265518055227756:0.252065140429549:0.240028321925891",0.225300318705565,0.0061875113822623,0.010717084086489,"0.226526109340525:0.235351801912233:0.214023044863937"
"P1E1mut2",0.259617654000472,0.00646787330943815,0.0112026851888655,"0.271890488553222:0.257021477460467:0.249940995987727",0.260357930865408,0.0106664917469022,0.0184749056441488,"0.250061289531748:0.249325815150772:0.281686687913704"
"P1E9",0.486901109275431,0.0298651243051842,0.0517279126709392,"0.537408543780977:0.489261269766344:0.434033514278971",0.442265261093405,0.0502717647046719,0.0870732506546395,"0.536896298112282:0.424368717822996:0.365530767344937"
"P1F11",0.684918574463063,0.0172194695622975,0.0298249961612851,"0.717252773188577:0.67901817323578:0.658484776964834",0.739642069134592,0.0397390661374046,0.0688300815953246,"0.661191468497181:0.767835253738661:0.789899485167933"
"P1F9",0.493273542600897,0.0422547831992502,0.0731874313639092,"0.577767288175596:0.452442766108095:0.449610573518999",0.509193429762197,0.0766792545432869,0.13281236475548,"0.661191468497181:0.450845795538122:0.415543025251287"
"P1G9",0.503894264810007,0.0233989410634017,0.0405281547651214,"0.522539532688223:0.457399103139013:0.531744158602785",0.425104192203972,0.0275876430500285,0.0477831994237238,"0.469232655062515:0.374356459916646:0.431723461632753"
"P2A10",0.744394618834081,0.0388896872765034,0.0673589142533687,"0.822043898985131:0.701675713948549:0.709464243568563",0.708752145133611,0.0542730483467067,0.094003677218138,"0.798725177739642:0.71635204707036:0.611179210590831"
"P2A2",0.663913146093934,0.0232017101297041,0.0401865407671329,"0.628038706632051:0.656360632523012:0.707340099126741",0.672223584211817,0.027212552096102,0.0471335228340635,"0.645011032115715:0.726648688404021:0.645011032115715"
"P2B2",0.806466839745103,0.00966513817769329,0.0167405103859385,"0.824168043426953:0.804342695303281:0.790889780505074",0.741358176023535,0.0247451882931023,0.0428599233665118,"0.704584456974749:0.788428536405982:0.731061534689875"
"P2B6",0.618598064668398,0.0409125498845593,0.070862615067253,"0.595468491857446:0.562190228935568:0.698135473212179",0.599656778622211,0.0198275187502778,0.0343422698635057,"0.583231184113753:0.576611914684972:0.639127237067909"
"P2C2",0.63842341279207,0.0423535386895823,0.0733584808906906,"0.619542128864763:0.576351191881048:0.719376917630399",0.633488600147095,0.0473459946792131,0.0820056683192828,"0.583231184113753:0.589114979161559:0.728119637165972"
"P2C6",0.821571866886948,0.0744184464544597,0.128896530279468,"0.674769884352136:0.916214302572575:0.873731413736134",0.802892865898505,0.087256664578771,0.151132976349427,"0.636920813924982:0.932581515077225:0.839176268693307"
"P2D6mut",0.609393438753835,0.0149939864755899,0.0259703463837223,"0.600424828888364:0.58909605853198:0.638659428841161",0.698945820053935,0.0214607901276929,0.0371711788717366,"0.697229713164991:0.662662417259132:0.736945329737681"
"P2E10",0.62615057823932,0.0197168773622192,0.0341506333579683,"0.656360632523012:0.632995043662969:0.58909605853198",0.561412110811473,0.0294567462032406,0.0510205810496743,"0.600882569257171:0.579553812208875:0.503799950968375"
"P2E6",0.226575407127685,0.00820643788091278,0.0142139673588988,"0.232947840453151:0.236488081189521:0.210290299740382",0.208874724197107,0.00709265807378742,0.0122848441445134,"0.211081147340034:0.195636185339544:0.219906839911743"
"P2F10",0.784045315081426,0.0403904767684153,0.0699583579048257,"0.737786169459523:0.864526787821572:0.749822987963182",0.77788673694533,0.0695264298774863,0.120423309016681,"0.64059818582986:0.865653346408433:0.827408678597696"
"P2F7",0.756903469435922,0.0429192443532174,0.0743383118422362,"0.795138069388718:0.804342695303281:0.671229643615766",0.690120127482226,0.0831989534802405,0.144104814564336,"0.803873498406472:0.738416278499632:0.528070605540574"
"P2G2",0.590984186924711,0.0755483649667506,0.130853606551169,"0.649280151050271:0.68255841397215:0.441113995751711",0.5545476832557,0.0715882720074338,0.123994524342936,"0.664133366021084:0.579553812208875:0.419955871537141"
"P2G8",0.251121076233184,0.00472032098182676,0.00817583576855735,"0.260561718196837:0.246400755251357:0.246400755251357",0.214023044863937,0.0042462633183841,0.00735474380975729,"0.221377788673695:0.214023044863937:0.20666830105418"
"PRC1mut",6.54142081661553,0.78842513307451,1.3655923884493,"8.08661789001652:5.49657776728818:6.04106679254189",5.83378278989948,0.511199844208973,0.885424102991235,"6.85609217945575:5.33439568521696:5.31086050502574"
"PRC1wt",0.79183384470144,0.0313581762391019,0.0543139544788236,"0.852489969317914:0.775312721265046:0.74769884352136",0.820789409168914,0.0246831747510799,0.0427525127609717,"0.855356705074773:0.834027948026477:0.772983574405491"
"SFT2mut",0.762331838565022,0.0167072025328342,0.0289377236392122,"0.788765636063252:0.766816143497758:0.731413736134057",0.762441774944839,0.018786216288961,0.0325386810944586,"0.728119637165972:0.76636430497671:0.792841382691836"
"unstained",0.212414444182204,0,0,"0.212414444182204",0.187545967148811,0,0,"0.187545967148811"
